"gene_id" "Cu_deficient" "Cu_deficient_crr1" "Cu_deficient_crr12" "Cu_sufficient" "Fe_deficient_Min" "Fe_limited_Min" "Fe_repleted_Min" "H2O2_t0" "H2O2_t05" "H2O2_t1" "N_deprived" "N_repleted" "S_deprived" "S_deprived_ars11" "S_repleted" "S_repleted_ars11" "singlet_4A" "singlet_sor1" "TAP_recipe1" "TAP_recipe2"
"Cre01.g003600" 3.98209 1.44875 0.760406 5.06689 28.2497 23.3966 33.4454 13.8003 15.2693 20.5441 2.27859 3.71565 1.09653 0.651583 0.9107 0.470569 2.99987 6.98312 17.6876 15.9381
"Cre01.g003700" 1.91569 1.60586 1.68804 1.84832 1.29382 1.17041 0.908717 0.852669 0.744265 0.695304 2.37316 1.52733 2.01168 1.90137 1.84798 2.58997 0.25701 1.48751 1.07897 1.3931
"Cre01.g003750" 1.04844 0.661607 1.02306 1.32606 0.832616 0.915237 0.738538 1.37928 2.0239 1.90587 0.476864 0.250039 1.9331 0.579106 1.08601 0.420173 0.669604 1.55002 0.640884 0.930924
"Cre01.g003800" 5.18783 4.41224 5.00187 7.25826 12.8623 6.87133 12.7259 7.3429 5.57012 5.65439 7.523 13.0078 2.87811 6.26624 6.10671 6.75536 0.757721 2.54778 7.44666 8.09964
"Cre01.g003850" 19.3823 26.7706 21.718 10.608 5.10222 1.14207 5.35525 14.2202 9.37576 4.92232 2.31155 23.9045 4.18509 0.341473 14.9029 13.2974 22.5827 20.2601 13.8973 15.1041
"Cre01.g004050" 0.0481519 0.15071 0.147701 0.00104804 0.124653 0.288284 0.199999 0.101041 0.243417 0.383354 0.0261277 0.0239848 1.3217 0.267104 0.369697 0.457949 0.372503 0.0721903 0.00659163 0.00481484
"Cre01.g004124" 1.93888 3.46645 2.55017 2.27919 1.83202 2.14553 4.32662 7.77914 8.47048 5.29792 3.12302 8.61009 3.23672 0.983024 3.96991 0.921452 3.95631 1.93427 5.73956 5.82884
"Cre01.g004157" 3.10436 3.18074 7.61436 3.10025 4.48384 5.43981 3.92029 13.7491 7.87265 5.46315 1.68463 1.68591 1.1407 0.308119 0.555539 0.605584 0.772291 3.72908 8.74235 9.70382
"Cre01.g004250" 35.3002 50.3325 27.8359 32.5903 30.6579 38.8135 32.0097 30.8714 33.0167 31.4894 20.8313 30.3803 43.1925 23.3399 43.432 34.1625 24.3244 17.9652 23.0965 18.0654
"Cre01.g004350" 13.9492 10.2636 9.3015 12.4484 16.144 20.5374 16.3082 7.7374 14.0353 20.0206 19.7884 14.5529 12.2875 63.9999 11.9098 13.425 16.1051 22.4066 12.909 11.3744
"Cre01.g004400" 5.97498 6.76539 6.49807 6.65405 10.0089 12.5154 9.46188 13.6271 15.4003 9.87282 5.99109 21.1184 6.7523 3.19798 10.7813 17.6669 1.8698 1.84296 5.18482 5.34563
"Cre01.g004500" 215.198 116.694 134.786 258.935 181.247 152.863 201.167 276.698 273.84 262.767 171.43 135.517 177.052 82.4801 176.382 92.8863 372.607 697.605 238.231 229.397
"Cre01.g004550" 8.40076 5.87386 5.79826 5.68297 6.45148 7.29995 7.18407 6.88569 5.66813 3.71904 6.19264 4.73075 6.73535 4.7296 4.42356 6.00566 2.71749 5.15565 2.86934 3.49491
"Cre01.g004600" 4.59127 7.12157 4.18735 3.79149 6.27348 7.80468 5.72908 1.94294 3.69518 3.43949 11.2695 11.5524 2.87379 8.147 2.60328 3.6822 0.694491 2.33089 3.83835 3.75513
