248238_at	AT5G53900
259472_at	AT1G18910
259466_at	AT1G19050
263382_at	AT2G40230
249756_at	AT5G24313
252024_at	AT3G52880
247940_at	AT5G57190
258367_at	AT3G14370
260035_at	AT1G68850
249333_at	AT5G40990
266021_at	AT2G05910
251066_at	AT5G01880
252872_at	AT4G40010
250730_at	AT5G06490
254240_at	AT4G23496
249490_s_at	 * 
254041_at	AT4G25830
266711_at	AT2G46740
265658_at	AT2G13810
254632_at	AT4G18630
248756_at	AT5G47560
256914_at	AT3G23880
256762_at	AT3G25655
257490_x_at	AT1G01380
245082_at	AT2G23270
248979_at	AT5G45080
245277_at	AT4G15550
250531_at	AT5G08650
260602_at	AT1G55920
261021_at	AT1G26380
260932_s_at	 * 
265471_at	AT2G37130
251774_at	AT3G55840
257668_at	AT3G20460
267138_s_at	 * 
266218_s_at	 * 
260805_at	AT1G78320
247618_at	AT5G60280
267191_at	AT2G44110
254231_at	AT4G23810
259846_at	AT1G72140
266820_at	AT2G44940
263574_at	AT2G16990
251743_at	AT3G55890
248717_at	AT5G48175
265334_at	AT2G18370
261335_at	AT1G44800
262646_at	AT1G62800
247706_at	AT5G59480
245790_at	AT1G32200
266893_at	AT2G26070
267305_at	AT2G30070
249814_at	AT5G23840
245007_at	ATCG00350
255479_at	AT4G02380
262038_at	AT1G35580
253126_at	AT4G36050
267477_at	AT2G02710
253042_at	AT4G37550
254215_at	AT4G23700
249922_at	AT5G19140
254975_at	AT4G10500
266322_at	AT2G46690
257814_at	AT3G25110
246584_at	AT5G14730
260126_at	AT1G36370
250558_at	AT5G07990
245251_at	AT4G17615
263963_at	AT2G36080
249867_at	AT5G23020
263350_at	AT2G13360
262045_at	AT1G80240
246566_at	AT5G14940
252746_at	AT3G43190
263765_at	AT2G21540
252612_at	AT3G45160
258094_at	AT3G14690
258181_at	AT3G21670
250666_at	AT5G07100
249567_at	AT5G38020
254187_at	AT4G23890
249794_at	AT5G23530
258103_at	AT3G23630
264574_at	AT1G05300
266770_at	AT2G03090
256137_at	AT1G48690
253569_at	AT4G31250
246250_at	AT4G36880
258938_at	AT3G10080
248150_at	AT5G54670
258364_at	AT3G14225
258527_at	AT3G06850
249684_s_at	 * 
260992_at	AT1G12150
244943_at	ATMG00070
265481_at	AT2G15960
247531_at	AT5G61550
258241_at	AT3G27650
258516_at	AT3G06490
254561_at	AT4G19160
255462_at	AT4G02940
254474_at	AT4G20390
261460_at	AT1G07880
262109_at	AT1G02730
260284_at	AT1G80380
260465_at	AT1G10910
264940_at	AT1G60470
265680_at	AT2G32150
265582_at	AT2G20030
251438_s_at	 * 
247570_at	AT5G61250
254608_at	AT4G18910
248606_at	AT5G49450
264143_at	AT1G79330
247005_at	AT5G67520
256176_at	AT1G51640
267058_at	AT2G32510
267464_at	AT2G19150
256022_at	AT1G58360
255792_at	AT2G33620
254726_at	AT4G13660
250624_at	AT5G07330
266832_at	AT2G30040
266544_at	AT2G35300
259831_at	AT1G69600
247222_at	AT5G64840
259871_at	AT1G76800
245970_at	AT5G20710
255298_at	AT4G04840
256433_at	AT3G10985
248245_at	AT5G53190
254695_at	 * 
263736_at	AT1G60000
255111_at	AT4G08780
257026_at	AT3G19200
251259_at	AT3G62260
254536_at	AT4G19720
252137_at	AT3G50980
246067_at	AT5G19410
258170_at	AT3G21600
252286_at	AT3G49070
257398_at	AT2G01990
260643_at	AT1G53270
248727_at	AT5G47990
245702_at	AT5G04220
253090_at	AT4G36360
255814_at	AT1G19900
258277_at	AT3G26830
258145_at	AT3G18200
266992_at	AT2G39200
259517_at	AT1G20630
251053_at	AT5G01490
258901_at	AT3G05640
261089_at	AT1G07570
249545_at	AT5G38030
263477_at	AT2G31790
266808_at	AT2G29995
248564_at	AT5G49700
257925_at	AT3G23170
258815_at	AT3G04000
253419_at	AT4G32780
258366_at	AT3G14230
261542_at	AT1G63560
251200_at	AT3G63010
263318_at	AT2G24762
266276_at	AT2G29330
254862_at	AT4G12030
257540_at	AT3G21520
247297_at	AT5G64100
247095_at	AT5G66400
250051_at	AT5G17800
257226_at	AT3G27880
262503_at	AT1G21670
249522_at	AT5G38700
264289_at	AT1G61890
250517_at	AT5G08260
253931_at	AT4G26770
263268_at	 * 
252282_at	AT3G49360
253174_at	AT4G35090
248469_at	AT5G50820
248230_at	AT5G53830
256529_at	AT1G33260
260565_at	AT2G43800
249303_at	AT5G41460
262916_at	AT1G59700
245510_at	AT4G15740
266321_at	AT2G46660
246502_at	AT5G16240
250613_at	AT5G07240
247638_at	AT5G60490
255876_at	AT2G40480
249015_at	AT5G44730
253702_at	AT4G29900
263652_at	AT1G04330
245181_at	AT5G12420
256217_at	AT1G56320
262590_at	AT1G15100
258708_at	AT3G09580
249894_at	AT5G22580
258675_at	AT3G08770
253943_at	AT4G27030
266968_at	AT2G39360
247696_at	AT5G59780
246149_at	AT5G19890
246167_at	 * 
253874_at	AT4G27450
251970_at	AT3G53150
248652_at	AT5G49270
251287_at	AT3G61820
248725_at	AT5G47980
258599_at	AT3G04520
262803_at	AT1G21000
252921_at	AT4G39030
264403_at	AT2G25150
248441_at	AT5G51270
264525_at	AT1G10060
250017_at	AT5G18140
253024_at	AT4G38080
252607_at	AT3G44990
266327_at	AT2G46680
256416_at	AT3G11050
267343_at	AT2G44260
252948_at	AT4G38600
266469_at	AT2G31180
259279_at	AT3G01120
263796_at	AT2G24540
251886_at	AT3G54260
260557_at	AT2G43610
255742_at	AT1G25560
264573_at	AT1G05310
259447_s_at	 * 
259749_at	AT1G71100
251410_at	AT3G60280
252626_at	AT3G44940
266967_at	AT2G39530
248934_at	AT5G46080
252025_at	AT3G52900
251952_at	AT3G53650
259232_at	AT3G11420
258729_at	AT3G11900
250629_at	AT5G07390
246416_at	AT5G16920
265945_at	AT2G19500
260067_at	AT1G73780
247912_at	AT5G57480
252510_at	AT3G46270
261248_at	AT1G20030
249944_at	AT5G22290
258570_at	AT3G04530
252958_at	AT4G38620
255881_at	AT1G67070
265151_at	AT1G51340
250661_at	AT5G07030
251291_at	AT3G61900
257512_at	AT1G35250
258222_at	AT3G15680
266402_at	AT2G38780
251443_at	AT3G59940
260141_at	AT1G66350
251980_at	AT3G53270
267582_at	AT2G41970
249481_at	AT5G38900
264989_at	AT1G27200
261691_at	AT1G50060
260887_at	AT1G29160
245711_at	AT5G04340
245706_at	AT5G04310
257066_at	AT3G18280
263838_at	AT2G36880
249677_at	AT5G35970
267488_at	AT2G19110
247326_at	AT5G64110
249755_at	AT5G24580
256508_at	AT1G75140
266037_at	AT2G05940
260902_at	AT1G21440
260560_at	AT2G43590
259541_at	AT1G20650
253910_at	AT4G27290
258618_at	AT3G02885
249972_at	AT5G19040
259676_at	AT1G77730
266917_at	AT2G45830
265447_at	AT2G46570
249675_at	AT5G35940
249994_at	AT5G18590
262951_at	AT1G75500
264339_at	AT1G70290
253987_at	AT4G26270
265983_at	AT2G18550
266669_at	AT2G29750
259374_at	AT3G16280
262283_at	AT1G68590
266123_at	AT2G45180
256696_at	AT3G20650
251944_at	AT3G53510
267038_at	AT2G38480
266546_at	AT2G35270
259364_at	AT1G13260
250937_at	AT5G03230
263438_at	AT2G28660
245171_at	AT2G47560
266265_at	AT2G29340
265685_at	AT2G24430
248970_at	AT5G45380
257363_at	 * 
263979_at	AT2G42840
254298_at	AT4G22890
259793_at	AT1G64380
252539_at	AT3G45730
253105_at	 * 
248961_at	AT5G45650
252498_at	AT3G46810
266222_at	AT2G28780
253100_at	AT4G37400
263131_at	AT1G78630
263536_at	AT2G25000
265999_at	AT2G24100
259981_at	AT1G76450
253425_at	AT4G32190
253043_at	AT4G37540
257172_at	AT3G23700
245036_at	AT2G26410
248224_at	AT5G53490
256358_at	AT1G66470
250529_at	AT5G08610
247800_at	AT5G58570
266624_s_at	 * 
267035_at	AT2G38400
251195_at	AT3G62930
257375_at	AT2G38640
248100_at	AT5G55180
251665_at	AT3G57040
254161_at	AT4G24370
262004_at	AT1G64480
247727_at	AT5G59490
245945_at	AT5G19560
260983_at	AT1G53560
262703_at	AT1G16510
259388_at	AT1G13420
264682_at	AT1G65570
259014_at	AT3G07320
266745_at	AT2G02950
251067_at	AT5G01910
245527_at	AT4G15955
258935_at	AT3G10120
263182_at	AT1G05575
256913_at	AT3G23870
246825_at	AT5G26260
259015_at	AT3G07350
264315_at	AT1G70370
259017_at	AT3G07310
250304_at	AT5G12110
259735_at	AT1G64405
252092_at	AT3G51420
252077_at	AT3G51720
259878_at	AT1G76790
255432_at	AT4G03330
254324_at	AT4G22640
251193_at	AT3G62910
250771_at	AT5G05400
249203_at	AT5G42590
266717_at	AT2G46735
253038_at	AT4G37790
260328_at	AT1G80360
262732_at	AT1G16440
266856_at	AT2G26910
262863_at	AT1G64910
245330_at	AT4G14930
265951_at	AT2G18500
264424_at	AT1G61740
252944_at	AT4G39320
263231_at	AT1G05680
253245_at	AT4G34590
251644_at	AT3G57540
258993_at	AT3G08940
257908_at	AT3G25410
266100_at	AT2G37980
245148_at	AT2G45220
256128_at	AT1G18140
263436_at	AT2G28690
253525_at	AT4G31330
263010_at	AT1G23330
267126_s_at	 * 
251806_at	AT3G55370
255290_at	AT4G04640
266155_at	 * 
265003_at	AT1G26970
263782_at	AT2G46380
252943_at	AT4G39330
265032_at	AT1G61580
263429_at	AT2G22250
249021_at	AT5G44820
252365_at	AT3G48350
246982_s_at	 * 
250630_at	AT5G07400
248625_at	AT5G48880
266018_at	AT2G18710
267123_at	AT2G23560
266066_at	AT2G18800
252905_at	AT4G39720
248821_at	AT5G47070
263689_at	AT1G26820
261924_at	AT1G22550
264590_at	AT2G17710
245228_at	AT3G29810
258100_at	AT3G23550
251082_at	AT5G01530
247774_at	AT5G58660
267505_at	AT2G45560
261466_at	AT1G07690
252387_at	AT3G47800
263968_s_at	 * 
262160_at	AT1G52590
246951_at	AT5G04880
261868_s_at	 * 
253754_at	AT4G29020
245912_at	AT5G19600
261441_at	AT1G28470
256436_at	AT3G11150
258437_at	AT3G16560
255903_at	AT1G17950
261587_at	AT1G01660
259727_at	AT1G60950
264837_at	AT1G03600
245578_at	AT4G14790
256697_at	AT3G20660
262904_at	AT1G59725
256243_at	AT3G12500
248200_at	AT5G54160
245547_at	AT4G15300
253994_at	AT4G26080
247831_at	AT5G58540
249225_at	AT5G42140
